category,subcategory,Created,Existing,Total
attacker_related,attacks,211,271,482
attacker_related,cybercrime_infrastructures,41,37,78
attacker_related,exploits,22,18,40
attacker_related,malware,74,175,249
attacker_related,vulnerabilities,144,205,349
defender_artifacts,alerts,11,18,29
defender_artifacts,configurations,28,39,67
defender_artifacts,logs,135,208,343
general_purpose_data_modalities,audio_speech_datasets,17,169,186
general_purpose_data_modalities,sensor_behavioral_datasets,84,62,146
general_purpose_data_modalities,tabular_structured_datasets,35,147,182
general_purpose_data_modalities,textual_data_mining_datasets,83,386,469
general_purpose_data_modalities,vision_based_datasets,84,1344,1428
macro_level_internet_characteristics,adverse_events,5,6,11
macro_level_internet_characteristics,applications,714,796,1510
macro_level_internet_characteristics,benchmarks,17,17,34
macro_level_internet_characteristics,network_traces,228,238,466
macro_level_internet_characteristics,topology,48,153,201
user_and_organizational_characteristics,user_activities,230,502,732
user_and_organizational_characteristics,user_attitudes,117,25,142
user_and_organizational_characteristics,user_attributes,176,571,747
