domain_pair,yearly_count,cdf
Computing methodologies -- Security and privacy,21,0.09090909090909091
Computing methodologies -- Security and privacy,22,0.18181818181818182
Computing methodologies -- Security and privacy,23,0.2727272727272727
Computing methodologies -- Security and privacy,36,0.36363636363636365
Computing methodologies -- Security and privacy,49,0.45454545454545453
Computing methodologies -- Security and privacy,65,0.5454545454545454
Computing methodologies -- Security and privacy,83,0.6363636363636364
Computing methodologies -- Security and privacy,98,0.7272727272727273
Computing methodologies -- Security and privacy,176,0.8181818181818182
Computing methodologies -- Security and privacy,183,0.9090909090909091
Computing methodologies -- Security and privacy,198,1.0
Security and privacy -- Software and its engineering,7,0.09090909090909091
Security and privacy -- Software and its engineering,13,0.18181818181818182
Security and privacy -- Software and its engineering,14,0.2727272727272727
Security and privacy -- Software and its engineering,18,0.36363636363636365
Security and privacy -- Software and its engineering,19,0.45454545454545453
Security and privacy -- Software and its engineering,23,0.5454545454545454
Security and privacy -- Software and its engineering,26,0.6363636363636364
Security and privacy -- Software and its engineering,39,0.7272727272727273
Security and privacy -- Software and its engineering,43,0.8181818181818182
Security and privacy -- Software and its engineering,52,0.9090909090909091
Security and privacy -- Software and its engineering,63,1.0
Information systems -- Security and privacy,12,0.09090909090909091
Information systems -- Security and privacy,16,0.18181818181818182
Information systems -- Security and privacy,18,0.2727272727272727
Information systems -- Security and privacy,21,0.36363636363636365
Information systems -- Security and privacy,22,0.45454545454545453
Information systems -- Security and privacy,23,0.5454545454545454
Information systems -- Security and privacy,27,0.6363636363636364
Information systems -- Security and privacy,28,0.7272727272727273
Information systems -- Security and privacy,28,0.8181818181818182
Information systems -- Security and privacy,30,0.9090909090909091
Information systems -- Security and privacy,35,1.0
Human-centered computing -- Security and privacy,8,0.09090909090909091
Human-centered computing -- Security and privacy,10,0.18181818181818182
Human-centered computing -- Security and privacy,12,0.2727272727272727
Human-centered computing -- Security and privacy,12,0.36363636363636365
Human-centered computing -- Security and privacy,13,0.45454545454545453
Human-centered computing -- Security and privacy,17,0.5454545454545454
Human-centered computing -- Security and privacy,17,0.6363636363636364
Human-centered computing -- Security and privacy,23,0.7272727272727273
Human-centered computing -- Security and privacy,25,0.8181818181818182
Human-centered computing -- Security and privacy,31,0.9090909090909091
Human-centered computing -- Security and privacy,41,1.0
Networks -- Security and privacy,8,0.09090909090909091
Networks -- Security and privacy,10,0.18181818181818182
Networks -- Security and privacy,10,0.2727272727272727
Networks -- Security and privacy,14,0.36363636363636365
Networks -- Security and privacy,19,0.45454545454545453
Networks -- Security and privacy,19,0.5454545454545454
Networks -- Security and privacy,19,0.6363636363636364
Networks -- Security and privacy,20,0.7272727272727273
Networks -- Security and privacy,23,0.8181818181818182
Networks -- Security and privacy,25,0.9090909090909091
Networks -- Security and privacy,25,1.0
