Category,Subcategory,Created,Existing,Total,S&P,CM,SE,IS,Net
attacker_related,attacks,211,271,482,58.6,25.9,1.6,7.6,6.3
,vulnerabilities,144,205,349,55.9,9.9,30.1,2.6,1.4
,malware,74,175,249,61.0,27.5,7.2,2.8,1.5
,cybercrime_infrastructures,41,37,78,63.3,15.0,0.0,18.3,3.3
,exploits,22,18,40,58.8,17.6,19.1,4.4,0.0
defender_artifacts,logs,135,208,343,60.1,25.9,3.7,7.4,2.8
,configurations,28,39,67,60.4,4.5,8.1,13.5,13.5
,alerts,11,18,29,62.2,8.9,8.9,15.6,4.4
general_purpose_data_modalities,vision_based_datasets,84,1344,1428,53.1,46.0,0.4,0.4,0.1
,textual_data_mining_datasets,83,386,469,56.4,37.7,1.6,4.0,0.2
,audio_speech_datasets,17,169,186,52.6,46.8,0.0,0.0,0.6
,tabular_structured_datasets,35,147,182,63.9,25.6,2.8,7.7,0.0
,sensor_behavioral_datasets,84,62,146,67.8,31.8,0.0,0.0,0.5
macro_level_internet_characteristics,applications,714,796,1510,62.6,11.2,14.6,7.0,4.6
,network_traces,228,238,466,56.5,15.5,1.1,3.9,22.9
,topology,48,153,201,59.7,6.0,1.5,5.1,27.8
,benchmarks,17,17,34,59.6,0.0,14.0,1.8,24.6
,adverse_events,5,6,11,57.9,5.3,0.0,5.3,31.6
user_and_organizational_characteristics,user_attributes,176,571,747,63.6,28.6,1.1,5.7,0.9
,user_activities,230,502,732,64.2,21.3,1.1,12.8,0.6
,user_attitudes,117,25,142,79.3,10.6,3.9,5.0,1.1
