subcategory,Artificial intelligence,Cryptography,Database and storage security,Human and societal aspects of security and privacy,Human computer interaction (HCI),Intrusion/anomaly detection and malware mitigation,Machine learning,Network protocols,Network security,Security in hardware,Security services,Software and application security,Software organization and properties,Systems security,World Wide Web
applications,35,27,13,155,35,217,226,40,157,44,87,637,213,347,148
attacks,24,2,4,59,11,285,183,6,39,28,30,39,11,36,47
audio_speech_datasets,46,2,1,16,5,20,117,1,3,28,71,32,0,16,0
logs,1,10,14,20,7,218,139,3,22,18,25,18,10,49,17
malware,0,0,3,7,3,208,110,0,2,1,4,31,19,11,9
network_traces,1,9,1,20,1,159,126,79,217,2,41,17,6,28,21
sensor_behavioral_datasets,25,11,6,14,6,13,42,0,2,50,38,8,0,19,0
tabular_structured_datasets,1,37,26,14,1,13,72,0,6,6,62,15,8,14,2
textual_data_mining_datasets,59,30,47,57,12,92,252,1,12,5,116,114,12,33,9
topology,0,6,17,18,1,27,20,52,99,0,37,12,3,10,9
user_activities,43,47,148,180,45,69,200,2,23,15,210,67,7,61,27
user_attitudes,2,3,4,109,61,6,17,1,6,3,3,15,3,7,6
user_attributes,69,103,122,97,55,42,263,7,28,17,366,36,6,30,23
vision_based_datasets,124,92,80,88,12,261,1122,3,10,89,406,271,4,144,1
vulnerabilities,5,2,2,13,3,9,55,1,8,10,4,202,107,118,15
