subcategory,Artificial intelligence,Cryptography,Database and storage security,Human and societal aspects of security and privacy,Human computer interaction (HCI),Intrusion/anomaly detection and malware mitigation,Machine learning,Network protocols,Network security,Security in hardware,Security services,Software and application security,Software organization and properties,Systems security,World Wide Web
applications,1.5,1.1,0.5,6.5,1.5,9.1,9.5,1.7,6.6,1.8,3.7,26.8,8.9,14.6,6.2
vision_based_datasets,4.6,3.4,3.0,3.3,0.4,9.6,41.4,0.1,0.4,3.3,15.0,10.0,0.1,5.3,0.0
user_attributes,5.5,8.1,9.7,7.7,4.4,3.3,20.8,0.6,2.2,1.3,29.0,2.8,0.5,2.4,1.8
user_activities,3.8,4.1,12.9,15.7,3.9,6.0,17.5,0.2,2.0,1.3,18.4,5.9,0.6,5.3,2.4
attacks,3.0,0.2,0.5,7.3,1.4,35.4,22.8,0.7,4.9,3.5,3.7,4.9,1.4,4.5,5.8
textual_data_mining_datasets,6.9,3.5,5.5,6.7,1.4,10.8,29.6,0.1,1.4,0.6,13.6,13.4,1.4,3.9,1.1
network_traces,0.1,1.2,0.1,2.7,0.1,21.8,17.3,10.9,29.8,0.3,5.6,2.3,0.8,3.8,2.9
logs,0.2,1.8,2.5,3.5,1.2,38.2,24.3,0.5,3.9,3.2,4.4,3.2,1.8,8.6,3.0
vulnerabilities,0.9,0.4,0.4,2.3,0.5,1.6,9.9,0.2,1.4,1.8,0.7,36.5,19.3,21.3,2.7
malware,0.0,0.0,0.7,1.7,0.7,51.0,27.0,0.0,0.5,0.2,1.0,7.6,4.7,2.7,2.2
topology,0.0,1.9,5.5,5.8,0.3,8.7,6.4,16.7,31.8,0.0,11.9,3.9,1.0,3.2,2.9
audio_speech_datasets,12.8,0.6,0.3,4.5,1.4,5.6,32.7,0.3,0.8,7.8,19.8,8.9,0.0,4.5,0.0
tabular_structured_datasets,0.4,13.4,9.4,5.1,0.4,4.7,26.0,0.0,2.2,2.2,22.4,5.4,2.9,5.1,0.7
sensor_behavioral_datasets,10.7,4.7,2.6,6.0,2.6,5.6,17.9,0.0,0.9,21.4,16.2,3.4,0.0,8.1,0.0
user_attitudes,0.8,1.2,1.6,44.3,24.8,2.4,6.9,0.4,2.4,1.2,1.2,6.1,1.2,2.8,2.4
