category,subcategory,S&P,CM,SE,IS,Net
attacker_related,attacks,58.6,25.9,1.6,7.6,6.3
attacker_related,cybercrime_infrastructures,63.3,15.0,0.0,18.3,3.3
attacker_related,exploits,58.8,17.6,19.1,4.4,0.0
attacker_related,malware,61.0,27.5,7.2,2.8,1.5
attacker_related,vulnerabilities,55.9,9.9,30.1,2.6,1.4
defender_artifacts,alerts,62.2,8.9,8.9,15.6,4.4
defender_artifacts,configurations,60.4,4.5,8.1,13.5,13.5
defender_artifacts,logs,60.1,25.9,3.7,7.4,2.8
general_purpose_data_modalities,audio_speech_datasets,52.6,46.8,0.0,0.0,0.6
general_purpose_data_modalities,sensor_behavioral_datasets,67.8,31.8,0.0,0.0,0.5
general_purpose_data_modalities,tabular_structured_datasets,63.9,25.6,2.8,7.7,0.0
general_purpose_data_modalities,textual_data_mining_datasets,56.4,37.7,1.6,4.0,0.2
general_purpose_data_modalities,vision_based_datasets,53.1,46.0,0.4,0.4,0.1
macro_level_internet_characteristics,adverse_events,57.9,5.3,0.0,5.3,31.6
macro_level_internet_characteristics,applications,62.6,11.2,14.6,7.0,4.6
macro_level_internet_characteristics,benchmarks,59.6,0.0,14.0,1.8,24.6
macro_level_internet_characteristics,network_traces,56.5,15.5,1.1,3.9,22.9
macro_level_internet_characteristics,topology,59.7,6.0,1.5,5.1,27.8
user_and_organizational_characteristics,user_activities,64.2,21.3,1.1,12.8,0.6
user_and_organizational_characteristics,user_attitudes,79.3,10.6,3.9,5.0,1.1
user_and_organizational_characteristics,user_attributes,63.6,28.6,1.1,5.7,0.9
